tagName,total
test AUDI A4,140
test AUDI Q7,244
test AUDI Q2,187
test BAIC Q7,187
test bmw X5,137
test bmw Z4,51
test bmw X2,162
test volkswagen TIGUAN,201
test volkswagen POLO,135
test volvo XC90,157
test AUDI A6,137
test AUDI Q5,159
test BAIC X55,199
test baic bj6473u6xdk,157
test bmw X1,159
test bmw X7,163
test bmw 528i,111
test bmw X3,157
test bmw 740LI,69
test bmw X4,168
test bmw 320I,146
test chevrolet CAPTIVA,117
test ford FOCUS,34
test volvo S90,151
test volvo XC60,159
test zotye T700,158
test zotye T800,155
test volkswagen Teramont,164
test vinfast VF8,160